ProductID,Name,Description,Price
1,Smartphone 0001,High-performance smartphone with fast processor and sharp display.,416.58
2,Smartphone 0001,High-performance smartphone with fast processor and sharp display.,416.58
3,Smartphone 0001,High-performance smartphone with fast processor and sharp display.,416.58
4,Smartphone 0001,High-performance smartphone with fast processor and sharp display.,416.58
5,Laptop 0002,Lightweight laptop built for productivity and everyday computing.,1434.20
6,Laptop 0002,Lightweight laptop built for productivity and everyday computing.,1434.20
7,Laptop 0002,Lightweight laptop built for productivity and everyday computing.,1434.20
8,Laptop 0002,Lightweight laptop built for productivity and everyday computing.,1434.20
9,Laptop 0002,Lightweight laptop built for productivity and everyday computing.,1434.20
10,Laptop 0002,Lightweight laptop built for productivity and everyday computing.,1434.20
11,Laptop 0002,Lightweight laptop built for productivity and everyday computing.,1434.20
12,Laptop 0002,Lightweight laptop built for productivity and everyday computing.,1434.20
13,4K Television 0003,Ultra HD 4K TV with vibrant colors and smooth motion.,1008.83
14,4K Television 0003,Ultra HD 4K TV with vibrant colors and smooth motion.,1008.83
15,4K Television 0003,Ultra HD 4K TV with vibrant colors and smooth motion.,1008.83
16,4K Television 0003,Ultra HD 4K TV with vibrant colors and smooth motion.,1008.83
17,Laptop 0004,Lightweight laptop built for productivity and everyday computing.,809.25
18,Laptop 0004,Lightweight laptop built for productivity and everyday computing.,809.25
19,Laptop 0004,Lightweight laptop built for productivity and everyday computing.,809.25
20,Laptop 0004,Lightweight laptop built for productivity and everyday computing.,809.25
21,Smartphone 0005,High-performance smartphone with fast processor and sharp display.,490.10
22,Smartphone 0005,High-performance smartphone with fast processor and sharp display.,490.10
23,Smartphone 0005,High-performance smartphone with fast processor and sharp display.,490.10
24,Smartphone 0005,High-performance smartphone with fast processor and sharp display.,490.10
25,Smartphone 0005,High-performance smartphone with fast processor and sharp display.,490.10
26,Smartphone 0005,High-performance smartphone with fast processor and sharp display.,490.10
27,Smartwatch 0006,Fitness and notifications on your wrist with long battery life.,230.82
28,Smartwatch 0006,Fitness and notifications on your wrist with long battery life.,230.82
29,Smartwatch 0006,Fitness and notifications on your wrist with long battery life.,230.82
30,Smartwatch 0006,Fitness and notifications on your wrist with long battery life.,230.82
31,4K Television 0007,Ultra HD 4K TV with vibrant colors and smooth motion.,306.49
32,4K Television 0007,Ultra HD 4K TV with vibrant colors and smooth motion.,306.49
33,4K Television 0007,Ultra HD 4K TV with vibrant colors and smooth motion.,306.49
34,Smartwatch 0008,Fitness and notifications on your wrist with long battery life.,321.67
35,Smartwatch 0008,Fitness and notifications on your wrist with long battery life.,321.67
36,Smartwatch 0008,Fitness and notifications on your wrist with long battery life.,321.67
37,Smartwatch 0008,Fitness and notifications on your wrist with long battery life.,321.67
38,Smartwatch 0008,Fitness and notifications on your wrist with long battery life.,321.67
